stid,site.name,lat,long,area,type
2939,Woody Cove Section,49.60145515497233,-57.94857467315141,301,Marine
1665,McDougall Pond,45.94555821349081,-60.49540240198756,234,Lacu
996,Hebron Lake,58.132709561739,-63.62250872031814,173,Lacu
846,Glacial Lake,64.86490033788053,-165.69980084963268,111,Lacu
2955,Head Lake,37.7084621176814,-105.73993768502844,70,Lacu
2935,Wonder Lake,63.47611633417648,-150.8760762775188,61,Lacu
11773,Sentinel Butte,31.44252086057691,-108.45162419066872,301,Rock Formation
1598,Lake of the Clouds,48.142629080540836,-91.11251683929207,12.5,Lacu
5803,Hiscock Site,43.084999651797965,-78.08115574299458,69,Palu
2262,Lac Manitou,46.05985612572678,-74.3713967494983,287,Lacu
9862,Bates Marsh,42.27282742040071,-81.86824782897953,47,Palu
2241,Sagehen Marsh,37.50667323060378,-108.5688611303411,283,Palu
975,Harding Lake,64.42232667473162,-146.84481197184056,226,Lacu
1127,Jacob Lake,34.30058897503937,-110.88742890600551,268,Lacu
758,Eagle Lake,53.223326446149954,-58.60888220528825,76,Lacu
10179,Cranesville Pine Swamp,39.54341837009016,-79.4832950609504,255,Palu
1974,Redondo Lake,67.70683215840862,-155.06772525658602,100,Lacu
2271,Seagull Lake,68.24606342663529,-145.18101504085752,146,Lacu
790,Etivlik Lake,68.1245498093383,-156.07022089372603,151,Lacu
1823,Perch Lake,46.033445673581696,-77.37519317990915,31,Lacu
1742,Nicol Lake,61.61250088658498,-103.4714490136192,59,Lacu
324,Camel Lake,30.27487791053863,-84.98923875943306,110,Lacu
1826,Lac Petel,50.56245773428139,-66.29186105112731,169,Lacu
1113,Indian Lake,50.92445158571949,-90.47514917719472,42,Lacu
1658,Baie des Onze Iles,46.740885143281055,-73.10644705994659,164,Lacu
1608,Long Lake (CA:Nunavut),62.63120242360187,-101.25828937139968,301,Palu
1977,Redstone Lake,67.22862063876886,-152.58787833389158,157,Lacu
513,Crowsnest Lake,68.32448579707811,-146.46179921667797,182,Lacu
1396,Kaiyak Lake,68.14320533244256,-161.4387712146683,297,Lacu
1709,Lac Montagnais,47.91626124773213,-71.19546422454778,120,Lacu
808,Fish Lake (CA:Nunavut),73.03463530844618,-85.19557292417407,265,Lacu
1115,Inglesby Lake,44.46257349593272,-77.04868800790355,178,Lacu
11696,Benacadie 4,45.90035016322643,-60.70456326747039,301,Palu
2263,Lac aux Quenouilles,46.16649160707102,-74.37726427127998,237,Lacu
2270,Screaming Yellowlegs Pond,67.56908672211061,-151.40492067771743,243,Lacu
1765,Lake O'Hara,51.35580370080544,-116.33231662826536,274,Lacu
2553,Tioga Pass Pond,37.925283583015045,-119.25300897410138,214,Lacu
1677,Lac Mélèze,65.21072823796844,-126.13216371824058,105,Lacu
484,Coghill Lake,53.913833664127175,-66.77541361397627,43,Lacu
1973,Rebel Lake,67.40041444407686,-149.80152115025675,145,Lacu
13657,Lake SL06,68.5953407149766,-91.87266965756878,92,Lacu
1818,Ped Pond,67.19024414768762,-142.05468794172813,108,Lacu
11774,Coyote Hills,32.01607962305244,-108.49656091538327,301,Rock
2258,San Joaquin Marsh,33.665751473172065,-117.8454388747768,75,Palu
1955,Ranger Lake,67.13583793936631,-153.65926950937703,30,Lacu
2936,Woodcliff Lake,41.01961265745284,-74.04443191306093,36,Lacu
957,Grey Islands,50.76746093304696,-55.530452424201734,192,Lacu
992,Headwaters Lake,67.93459020788578,-155.0364047195804,170,Lacu
2549,Petit Lac Terrien,46.58588089459549,-70.60868644496549,79,Lacu
2529,Swamp Lake,37.9500749686846,-119.82931156150917,37,Lacu
1806,Paynter Marsh,44.1035842566706,-78.32787833389152,106,Palu
1699,Minakokosa Lake,66.92612364673197,-155.02548956898866,112,Lacu
1920,Puyuk Lake,63.50292689006753,-162.21188398638077,296,Lacu
789,Lac à la Fourche,47.60275117277144,-70.60602871123584,85,Lacu
2232,Ruppert Lake,67.07035647036672,-154.24462754065632,121,Lacu
1104,Humber Pond 7,43.64569351980604,-79.48961814949774,253,Lacu
1071,Hidden Lake,63.94768393325346,-144.6648929604822,63,Lacu
943,Graham Lake,45.19030585597529,-77.35713039182849,235,Lacu
505,Cranberry Glades,38.202555136375786,-80.27374975338252,160,Palu
263,Banks Island 74MS15,73.5344001404013,-120.20687839809787,96,Lacu
1358,Tourbière du lac Joncas,47.2578683355657,-71.17261794072328,21,Lacu
331,Carbuncle Pond,41.6984915658508,-71.77382581089535,158,Lacu
232,Barry Lake,44.30765425543311,-77.9223000095445,163,Lacu
945,Grant Lake,64.71225087694296,-100.4585383533155,245,Lacu
2309,Sioux Pond,49.92455062068474,-91.56458849078201,166,Lacu
2795,Upper South Branch Pond,46.0884903401334,-68.89288745995334,36,Lacu
1656,Mashapaug Pond,41.7919724100616,-71.43303590034049,231,Lacu
1796,Parrott's Pond,44.22068134512423,-76.69146729777856,197,Lacu
262,Banks Island 74MS12,72.36749496949004,-119.84165179046656,294,Lacu
339,Cascade Fen,37.48404215552301,-107.80821421138641,280,Palu
656,Decoy Lake,43.24135007597988,-80.3674751110739,238,Lacu
829,Furnival Lake,48.21744380438484,-84.93023767972761,60,Lacu
317,Burden Lake,42.599443342271506,-73.56096268653721,142,Lacu
489,Compass Pond,50.034252494553634,-56.18899240687659,278,Lacu
10103,Fort Bragg (core PAW2),35.17740626336319,-79.08395213670745,228,Palu
2547,Ten Mile Lake,63.07199557598651,-145.70449214685195,82,Lacu
2865,Wild Spear Lake,59.252260270638104,-114.1434400395178,81,Lacu
353,Chase Pond,45.65463867094365,-60.66917209307887,23,Lacu
