"stid","dsid","name","area","edited","notes","type","avg_int","max_int","controls","Core.top","Biostratigraphic..pollen","Radiocarbon","Radiocarbon..average.of.two.or.more.dates","Deglaciation","Guess","Tephra","Radiocarbon..reservoir.correction","Extrapolated","Core.bottom","Annual.laminations..varves.","Interpolated","Other.dating.methods","Radiocarbon..calibrated","Sediment.stratigraphic","Ambrosia.rise","X23","European.settlement.horizon","Lead.210","Introduced.Pinus.rise","Tsuga.decline","Radiocarbon..calibrated.from.calendar.years","Radiocarbon..infinite","Heinrich.stadials","Interpolated..corrected.for.compaction","Stratigraphic","Picea.decline","Historical.fire","Historical.documentation","Biostratigraphic","Casuarina.rise","Caesium.137","Salsola.rise","Geochronologic","Marine.isotope.stage.event","X","Y","geometry"
319,326,"Lac à la Busque",23,1,"Minor move.","Lacu",9100,9100,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-70.595833,46.279167,"c(-70.595833, 46.279167)"
322,329,"Saint-Calixte",2.39,1,"Confirmed site with Google Earth, changed area","NA",3251.66666666667,6135,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-73.868056,45.961111,"c(-73.868056, 45.961111)"
329,336,"Candelabra Lake",1958.01993971807,"NA","NA","NA",837.5,2100,13,1,"NA",11,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-130.65,61.683333,"c(-130.65, 61.683333)"
332,339,"Lac Caribou",2.6,1,"Small nudge, but no real clear map in the figure.","Lacu",2166.66666666667,4010,7,1,"NA",5,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.94,48.197778,"c(-64.94, 48.197778)"
334,341,"Caribou Hill",65,3,"Confirmed area with publication, unable to confirm exact location of lake","NA",1224,1435,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-63.25,55.666667,"c(-63.25, 55.666667)"
338,346,"Lac Castor",0.8,3,"No Publication but nearby lake named lac Castor","Lacu",1590,2520,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-72.998611,46.613889,"c(-72.998611, 46.613889)"
361,371,"Chism 1",1.8,3,"So many small lakes in the area,","Lacu",5465,5465,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.145556,54.799444,"c(-76.145556, 54.799444)"
362,373,"Chism 2",4.7,3,"Too many local lakes","Lacu",6430,6430,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.339167,53.090833,"c(-76.339167, 53.090833)"
481,493,"Clearwater Lake",59.8409626427899,"NA","NA","NA",3240,6430,3,1,1,"NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-107.933333,50.873611,"c(-107.933333, 50.873611)"
496,508,"Lac Côté",31,1,"Slight nudge.  No pub, but in park is Lac Charles Cote.","Lacu",9810,9810,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-65.95,48.966944,"c(-65.95, 48.966944)"
499,511,"Cottonwood Slough",24,1,"In dissertation but checked Jasper Park Maps.","Palu","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-118.1,52.866667,"c(-118.1, 52.866667)"
506,519,"Crates Lake",11.4047474508438,"NA","NA","NA",1760,3820,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-81.266667,49.183333,"c(-81.266667, 49.183333)"
507,520,"Crawford Lake",2.2,1,"Moved from south of Milton","Lacu",878.5,1738,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.83,43.5,"c(-79.83, 43.5)"
507,16124,"Crawford Lake",2.2,1,"Moved from south of Milton","Lacu",2428.5,6080,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.83,43.5,"c(-79.83, 43.5)"
511,524,"Cristal Lake",154.743461079255,"NA","NA","NA",3360,6370,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-90.083333,52.116667,"c(-90.083333, 52.116667)"
512,525,"Crowfoot Lake",17,1,"In Publication, hopefully distinct from Bow Lake","Lacu",1029.90909090909,2215,12,1,"NA",7,1,"NA","NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-116.416667,51.65,"c(-116.416667, 51.65)"
527,17292,"Cycloid Lake",20,1,"From the publication","NA",4260,6000,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-105.266667,55.266667,"c(-105.266667, 55.266667)"
533,549,"Daumont",2,3,"It's close but I can't quite get it lined up based on the picture & map.","Lacu",1372.5,2020,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-69.4,54.883333,"c(-69.4, 54.883333)"
658,675,"Delorme 1",0.6,3,"Now part of a resevoir.  Impossible to find original site.","Lacu",1776.66666666667,2740,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-69.918889,54.418889,"c(-69.918889, 54.418889)"
659,677,"Delorme 2",349282.881663447,"NA","NA","NA",1264,1680,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-69.929722,54.423611,"c(-69.929722, 54.423611)"
671,691,"Lac du Diable",11.9662755565898,"NA","NA","NA",2000,4420,7,1,"NA",4,"NA",1,"NA","NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-66.125,48.910833,"c(-66.125, 48.910833)"
754,773,"Lac Dufresne",13.9871467587234,"NA","NA","NA",1592.85714285714,3450,8,1,1,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-70.35,45.85,"c(-70.35, 45.85)"
759,778,"Eaglenest Lake",807,1,"Checked with Google maps","Lacu",1576,5960,8,1,"NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-112.1,57.766667,"c(-112.1, 57.766667)"
766,785,"Edward Lake",24.1445062023805,"NA","NA","NA",2437.5,4100,5,1,1,"NA","NA","NA","NA","NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-80.25,44.37,"c(-80.25, 44.37)"
770,3125,"E Lake",3.88,2,"Confirmed Lake, Changed Area","NA",1394.75,3390,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-99.65835,50.69095,"c(-99.65835, 50.69095)"
782,802,"Ennadai Lake, 1972 Site",44079.519119062,"NA","NA","NA",955,2090,5,"NA","NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-100.951389,61.244444,"c(-100.951389, 61.244444)"
783,803,"Ennadai Lake",44079.519119062,"NA","NA","NA",468.181818181818,1390,12,"NA","NA",12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-100.916667,61.166667,"c(-100.916667, 61.166667)"
785,805,"Lake Erie",247250.90760657,"NA","NA","NA",3167.25,5650,5,1,1,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-82.76,41.92,"c(-82.76, 41.92)"
788,808,"East Sooke Fen",0.1,2,"Confirmed site and area with publication","NA",2348.8,5404,6,1,"NA",4,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-123.681667,48.351944,"c(-123.681667, 48.351944)"
798,821,"Tourbière de Farnham",410,3,"Unable to confirm site, Confirmed area: Lavoie, Larouche, Richard 1995","NA",2037.5,5145,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-72.982778,45.282778,"c(-72.982778, 45.282778)"
800,823,"Fawn Lake (CA:Ontario)",250.138366452338,"NA","NA","NA",3276.66666666667,4370,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.39,45.41,"c(-79.39, 45.41)"
805,829,"Fiddler's Pond",5.46,1,"Confirmed site with publication, changed area","NA",2426,3960,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-121.42,56.25,"c(-121.42, 56.25)"
835,862,"Georgian Bay, Lake Huron (1)",345164.993893595,"NA","NA","NA",1921.66666666667,3650,7,1,6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-80.86,44.74,"c(-80.86, 44.74)"
836,863,"Georgian Bay, Lake Huron (2)",1190833.04273877,"NA","NA","NA",2300,3300,6,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-81.32,45.17,"c(-81.32, 45.17)"
842,871,"Lac à St-Germain",1.51459365214358,"NA","NA","NA",2160,4070,6,1,"NA",4,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-74.370833,45.945833,"c(-74.370833, 45.945833)"
845,874,"Upper Gillies Lake",9.71434485259498,"NA","NA","NA",2600,4550,5,1,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-60.391667,46.066667,"c(-60.391667, 46.066667)"
849,878,"Jones Lake [Glenboro site]",50.9066718077117,"NA","NA","NA",1685.71428571429,4210,8,1,2,4,"NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-99.28965,49.448,"c(-99.28965, 49.448)"
944,974,"Grand Rapids",371986.723218009,"NA","NA","NA",2406.66666666667,4035,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-98.25,53,"c(-98.25, 53)"
946,976,"Lac Gras",679.688460131301,"NA","NA","NA",990.142857142857,2680,8,1,"NA",5,"NA",1,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-67.066667,52.25,"c(-67.066667, 52.25)"
948,978,"Gravel Ridge",4763.97472408502,"NA","NA","NA",1617.5,2090,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-62.633333,55.033333,"c(-62.633333, 55.033333)"
956,986,"Grenadier Pond",1.90476116157365,"NA","NA","NA",687.333333333333,1330,7,1,1,3,1,"NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.47,43.64,"c(-79.47, 43.64)"
958,989,"Lac Griault",48728.1248585924,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.128889,54.146944,"c(-76.128889, 54.146944)"
970,1001,"Hail Lake",1,3,"No good indication of location and several nearby sites","Lacu",1357.14285714286,2870,8,1,"NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-129.016667,60.033333,"c(-129.016667, 60.033333)"
971,1002,"Hams Lake",3.88766859736176,"NA","NA","NA",948.545454545455,1700,12,1,1,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-80.413333,43.236667,"c(-80.413333, 43.236667)"
972,1003,"Hanging Lake",57,1,"No good map, but could line up from pictures in paper.","Lacu",1185.71428571429,4700,22,1,"NA",21,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-138.383333,68.383333,"c(-138.383333, 68.383333)"
976,1007,"Lac Harriman",47.2847309414516,"NA","NA","NA",13400,13400,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-65.838889,48.2375,"c(-65.838889, 48.2375)"
1064,3771,"Snow Lake",152.895481104734,"NA","NA","NA",1756.66666666667,2180,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-63.883333,56.633333,"c(-63.883333, 56.633333)"
1072,1105,"High Lake",2.5,3,"Size is reported but insufficient detail to locate lake.","Lacu",1345,1665,8,1,"NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.6,44.516667,"c(-76.6, 44.516667)"
1074,1107,"Honeymoon Pond",0.5,1,"Moved lake based on inset map and pictures.","Lacu",494.210526315789,2290,20,1,"NA",19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-138.4,64.633333,"c(-138.4, 64.633333)"
1106,1139,"Hynes Brook Salt Marsh",1020608.72505404,"NA","NA","NA",1385,2365,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-58.965,48.618611,"c(-58.965, 48.618611)"
1245,17672,"Wilcox Lake",55.1600583206107,"NA","NA","NA",1727.25,3158,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.43,43.95,"c(-79.43, 43.95)"
1400,1437,"Kanaaupscow",48728.1248585924,"NA","NA","NA",3850,6450,3,1,"NA",1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.643889,54.027778,"c(-76.643889, 54.027778)"
1408,1445,"Keele Lake",9,3,"Confirmed Lake with publication, changed area","NA",1998.33333333333,3440,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-127.616667,64.166667,"c(-127.616667, 64.166667)"
1415,1452,"Kenosee Lake",824.831263534415,"NA","NA","NA",2535.5,2801,3,1,1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-102.3,49.816667,"c(-102.3, 49.816667)"
1416,1453,"Marais de Keswick",150,1,"From paper","Palu","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.512778,44.195833,"c(-79.512778, 44.195833)"
1416,3453,"Marais de Keswick",150,1,"From paper","Palu","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.512778,44.195833,"c(-79.512778, 44.195833)"
1416,3454,"Marais de Keswick",150,1,"From paper","Palu",1300,2470,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.512778,44.195833,"c(-79.512778, 44.195833)"
1531,1569,"Lac Colin",20.583,1,"Confirmed Lake, Changed Area","NA",1231.11111111111,2370,10,1,1,8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-70.3,46.716667,"c(-70.3, 46.716667)"
1532,1570,"Lac Hamard",15123.4433324872,"NA","NA","NA",2066.66666666667,2840,4,1,2,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-67.5,54.8,"c(-67.5, 54.8)"
