"stid","dsid","name","area","edited","notes","type","avg_int","max_int","controls","Core.top","Biostratigraphic..pollen","Radiocarbon","Radiocarbon..average.of.two.or.more.dates","Deglaciation","Guess","Tephra","Radiocarbon..reservoir.correction","Extrapolated","Core.bottom","Annual.laminations..varves.","Interpolated","Other.dating.methods","Radiocarbon..calibrated","Sediment.stratigraphic","Ambrosia.rise","X23","European.settlement.horizon","Lead.210","Introduced.Pinus.rise","Tsuga.decline","Radiocarbon..calibrated.from.calendar.years","Radiocarbon..infinite","Heinrich.stadials","Interpolated..corrected.for.compaction","Stratigraphic","Picea.decline","Historical.fire","Historical.documentation","Biostratigraphic","Casuarina.rise","Caesium.137","Salsola.rise","Geochronologic","Marine.isotope.stage.event","X","Y","geometry"
10334,15702,"Collins Pond Site (PL-86-56)",924760.984892401,"NA","NA","NA",252,900,6,"NA","NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-61.3427,45.42715,"c(-61.3427, 45.42715)"
10340,15713,"Crater Lake",1.5,"NA","NA","NA",1291.875,2157,9,1,"NA",6,"NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-120.09585,49.19225,"c(-120.09585, 49.19225)"
10347,15730,"Fire Lake",104.491036482532,"NA","NA","NA",1924.5,3270,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-67.35709,52.331985,"c(-67.35709, 52.331985)"
10351,15738,"Harris Lake",32.0967032946207,"NA","NA","NA",1831.4,2390,6,1,"NA",4,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-109.90446,49.66656,"c(-109.90446, 49.66656)"
10355,15746,"Lake Jake",103.352618198521,"NA","NA","NA",1250.14285714286,2151,8,1,"NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-65.1513,63.66675,"c(-65.1513, 63.66675)"
10370,15781,"Moraine Bog",1,"NA","NA","NA",1468.66666666667,5470,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-124.9,51.33,"c(-124.9, 51.33)"
10371,15783,"Moraine Lake",41.7439193907325,"NA","NA","NA",3304.66666666667,5860,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-124.47,71.86,"c(-124.47, 71.86)"
10376,15793,"Roulston Lake (MS-78-15)",1.97168297145287,"NA","NA","NA",2782,5508,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-67.4,46.89451,"c(-67.4, 46.89451)"
10377,15794,"Le Bassin site",1647102.84969932,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-61.900945,47.23019,"c(-61.900945, 47.23019)"
10394,15829,"Robinson Lake",15.8908145961131,"NA","NA","NA",451.782608695652,1620,24,1,"NA",23,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.261165,63.397585,"c(-64.261165, 63.397585)"
10407,15870,"Testalinden Lake",3,"NA","NA","NA",3835.5,4934,3,1,"NA",1,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-119.6769,49.11973,"c(-119.6769, 49.11973)"
10421,15902,"Woods Lake",0.2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-127.269325,51.004365,"c(-127.269325, 51.004365)"
10456,15982,"Mayflower Lake",5.79474500770917,"NA","NA","NA",5813,5813,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.2165277777778,45.3898611111111,"c(-79.2165277777778, 45.3898611111111)"
10484,16077,"Bradshaw Lake peat section",20.9815369718321,"NA","NA","NA",6322,6322,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-95.1888888888889,57.7634722222223,"c(-95.1888888888889, 57.7634722222222)"
10486,16081,"Chance Harbour Lake",10.8337537446824,"NA","NA","NA",1679.375,2955,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-62.610975,45.670215,"c(-62.610975, 45.670215)"
10488,16086,"Island Lake",3,"NA","NA","NA",3316,5968,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-66.18227,47.830255,"c(-66.18227, 47.830255)"
10493,16096,"Cook Bank",1492546.39974569,"NA","NA","NA",236.666666666667,545,4,"NA","NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-128.304444444445,50.8593055555556,"c(-128.304444444444, 50.8593055555556)"
10494,16099,"Logan Inlet",1310071.9086952,"NA","NA","NA",526.666666666667,1150,4,"NA","NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-131.689722222222,52.7804166666667,"c(-131.689722222222, 52.7804166666667)"
10495,16101,"Juan Perez Sound",1310071.9086952,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-131.37499652096,52.5022213921833,"c(-131.37499652096, 52.5022213921833)"
10496,16103,"Pye Lake",12.5237074182958,"NA","NA","NA",1530,2120,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-62.09061,44.9759327777778,"c(-62.09061, 44.9759327777778)"
10499,16109,"Patricia Bay Lake",62.5841014819535,"NA","NA","NA",1445,2130,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-68.5027777777778,70.4619444444444,"c(-68.5027777777778, 70.4619444444444)"
10521,16187,"Rice Lake",10036.8706919208,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.14232,44.199085,"c(-78.14232, 44.199085)"
10521,16189,"Rice Lake",10036.8706919208,"NA","NA","NA",1317.33333333333,1675,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.14232,44.199085,"c(-78.14232, 44.199085)"
10521,16191,"Rice Lake",10036.8706919208,"NA","NA","NA",10062,10062,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.14232,44.199085,"c(-78.14232, 44.199085)"
10521,16193,"Rice Lake",10036.8706919208,"NA","NA","NA",2742.66666666667,3913,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.14232,44.199085,"c(-78.14232, 44.199085)"
10544,16256,"McGinnis Lake",4.55706377111558,"NA","NA","NA",1887.25,2700,5,1,"NA","NA","NA","NA",2,"NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.039815,44.607495,"c(-78.039815, 44.607495)"
10544,16257,"McGinnis Lake",4.55706377111558,"NA","NA","NA",756,2400,5,1,"NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA",1,"NA","NA",1,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.039815,44.607495,"c(-78.039815, 44.607495)"
10548,16264,"Dugas Bay Bog",1902.24641118749,"NA","NA","NA","NA","-Inf",3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.3808362591486,46.3102769927029,"c(-79.3808362591486, 46.3102769927029)"
10549,16265,"Glenora Bay",109053.084761551,"NA","NA","NA",167.411764705882,265,18,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-77.0391666666667,44.0463888888889,"c(-77.0391666666667, 44.0463888888889)"
10552,16271,"Preston Lake",26.5388705151152,"NA","NA","NA",1036,2625,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.37944,43.9869027777778,"c(-79.37944, 43.9869027777778)"
10554,16275,"Round Pond",11.9905033057145,"NA","NA","NA",3975,4135,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-91.3723611111111,52.531655,"c(-91.3723611111111, 52.531655)"
10555,16276,"Wagner Lake",40.738813316567,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.130295,44.19,"c(-79.130295, 44.19)"
10556,16278,"Webbs Lake",6.215,2,"Confirmed site and area","NA",3873.5,4913,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.1025,44.1670666666667,"c(-78.1025, 44.1670666666667)"
11557,17280,"Lovesick Lake",23094.0095842083,"NA","NA","NA",3183.33333333333,7450,4,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.2247972222222,44.5568055555555,"c(-78.2247972222222, 44.5568055555555)"
11557,17281,"Lovesick Lake",23094.0095842083,"NA","NA","NA",1458.33333333333,3700,7,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.2247972222222,44.5568055555555,"c(-78.2247972222222, 44.5568055555555)"
11557,17283,"Lovesick Lake",23094.0095842083,"NA","NA","NA",1910,7900,6,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.2247972222222,44.5568055555555,"c(-78.2247972222222, 44.5568055555555)"
11605,17393,"Fishblue (Blue) Lake",8.46704032840183,"NA","NA","NA",3388.66666666667,5192,4,1,"NA",1,"NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-121.49262,49.992745,"c(-121.49262, 49.992745)"
11608,17400,"South Lake",70.4140396643991,"NA","NA","NA",3043,4294,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-121.42854,69.080765,"c(-121.42854, 69.080765)"
11613,17409,"Kelly Lake",339.15562287405,"NA","NA","NA",14.6666666666667,23,4,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-81.068245,46.44356,"c(-81.068245, 46.44356)"
11736,17689,"Spirea Wetland",0.2985,2,"Confirmed Lake and area","NA",-205.5,3180,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-80.2592416666666,43.26191,"c(-80.2592416666666, 43.26191)"
11747,17711,"Lake A",20,1,"From the publication, site was far off.","Lacu",-4042,-3294,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-105.055315,55.33119,"c(-105.055315, 55.33119)"
11748,17713,"West Naniskak Lake",9.24219663268115,"NA","NA","NA",-3854.5,-3840,3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-104.938605,55.430905,"c(-104.938605, 55.430905)"
11749,17715,"Marl Pond",49.3487731046591,"NA","NA","NA",-10229,-10229,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-105.385195,55.047975,"c(-105.385195, 55.047975)"
11925,18108,"NEL03",0.35,"NA","NA","NA",-569.75,3460,7,1,"NA",4,"NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-116.905,49.496405,"c(-116.905, 49.496405)"
11926,18110,"Path Lake",23.4319275825588,"NA","NA","NA",1465.5,2900,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.928795,43.87196,"c(-64.928795, 43.87196)"
11928,19323,"TK-2 Lake",5.254,2,"Confirmed Site with publication and Google Earth, Changed area","NA",1304.16666666667,2525,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-104.945735,66.34784,"c(-104.945735, 66.34784)"
11934,18127,"Pyatts Lake",10.0722256015513,"NA","NA","NA",-172,1968,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-115.769585,49.46966,"c(-115.769585, 49.46966)"
13288,19814,"Trout Lake",86.1498526387689,"NA","NA","NA",-164.833333333333,4830,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-138.74449,68.829105,"c(-138.74449, 68.829105)"
13302,19842,"Lac Brule",8.31050607514935,"NA","NA","NA",-611.5,-290,4,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-75.4417,45.71903,"c(-75.4417, 45.71903)"
13304,19846,"Lac Noir",9.21204362929998,"NA","NA","NA",-55,470,4,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-75.135905,45.777015,"c(-75.135905, 45.777015)"
13362,19967,"Mary Lake",14.0963974253403,"NA","NA","NA",2255,4320,5,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-81.00256,44.735655,"c(-81.00256, 44.735655)"
13375,19993,"Cooley Lake",4.5,"NA","NA","NA",1431.8,2432,6,"NA","NA",4,"NA","NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-117.645195,49.49136,"c(-117.645195, 49.49136)"
13376,19995,"Gerry Lake",5.1,"NA","NA","NA",980.7,1555,11,1,"NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-121.50548,53.64545,"c(-121.50548, 53.64545)"
13477,20281,"Dragonfly Lake",6,2,"Site's in the right place.  Added ha from paper","Lacu",1058.88888888889,1715,10,1,"NA",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-135.341245,60.812585,"c(-135.341245, 60.812585)"
13479,20287,"Haircut Lake",7.37778815172372,"NA","NA","NA",1165.83333333333,1922,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-133.209055,60.516075,"c(-133.209055, 60.516075)"
13480,20289,"Marcella Lake",2.33919721729662,"NA","NA","NA",1602,2965,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-133.80601,60.073495,"c(-133.80601, 60.073495)"
13482,20295,"Salmo Lake",2.5,1,"Moved a bit.  Paper confirms location.  Measure","Lacu",-468.333333333333,2220,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-133.561605,60.445535,"c(-133.561605, 60.445535)"
13572,20647,"Lake JR01",24,3,"Approximate dimensions reported but site difficult to find.","Lacu",-74.3888888888889,1260,19,1,"NA",10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-95.07,69.9,"c(-95.07, 69.9)"
13625,20609,"Eleanor Lake",6.43758836837026,"NA","NA","NA",455.857142857143,1635,22,1,"NA",10,"NA","NA","NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-119.300965,52.11139,"c(-119.300965, 52.11139)"
13641,20643,"Pine Lake",412.224240859748,"NA","NA","NA",-275.538461538462,87,14,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-113.4425,52.0898611111111,"c(-113.4425, 52.0898611111111)"
13643,20649,"Lake KR02 (unofficial name)",0.79,"NA","NA","NA",-196.409090909091,1820,23,1,"NA",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-113.78145,71.344,"c(-113.78145, 71.344)"
13644,20651,"Upper Fly Lake",10.4945110831849,"NA","NA","NA",-91.3571428571429,4190,15,1,"NA",6,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-138.088,61.0195,"c(-138.088, 61.0195)"
13645,20653,"Lake MB01",5.40902809376369,"NA","NA","NA",-160.882352941176,1540,18,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-112.077,69.807,"c(-112.077, 69.807)"
13682,20836,"Drizzle Bog",2.5,2,"Looks fine.","Palu",3.76425,990,41,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-132.10562,53.935385,"c(-132.10562, 53.935385)"
13899,21319,"Lac Triangle",1.5,"NA","NA","NA",-391.75,2870,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-65.41279,48.710435,"c(-65.41279, 48.710435)"
13910,21389,"Petit lac Bouchard",2.8,2,"Map okay","NA",-1678.66666666667,1060,9,1,"NA",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.59709,48.938595,"c(-64.59709, 48.938595)"
13910,21404,"Petit lac Bouchard",2.8,2,"Map okay","NA","NA","-Inf",3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.59709,48.938595,"c(-64.59709, 48.938595)"
13910,21406,"Petit lac Bouchard",2.8,2,"Map okay","NA","NA","-Inf",3,1,"NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-64.59709,48.938595,"c(-64.59709, 48.938595)"
13975,21577,"Stoll Lake",46.3419009646964,"NA","NA","NA",0.583333333333333,17,15,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-77.289295,44.973845,"c(-77.289295, 44.973845)"
13980,21600,"Tawny Pond",2,"NA","NA","NA",-2.8,13,18,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-77.18251,44.8163888888889,"c(-77.18251, 44.8163888888889)"
14031,21770,"Hippa Lake",3.2,"NA","NA","NA",2226.6,4893,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-132.97624,53.53188,"c(-132.97624, 53.53188)"
14032,21772,"Misty Lake",34.2228522753395,"NA","NA","NA",2022.16666666667,3220,7,1,"NA",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-127.26146,50.607075,"c(-127.26146, 50.607075)"
14039,21788,"Roe Lake",2.00685108867005,"NA","NA","NA",421,3088,22,1,"NA",4,"NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-123.302695,48.782945,"c(-123.302695, 48.782945)"
14049,21810,"Sunwapta Pass Bog 2",4,1,"From thesis","Palu","NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-117.16168,52.21426,"c(-117.16168, 52.21426)"
14051,21830,"Lake AT01",53.2866912477044,"NA","NA","NA",275.681818181818,4100,23,1,"NA",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-84.2054,53.27892,"c(-84.2054, 53.27892)"
14055,21822,"Sunwapta Pass Bog 6",26,1,"From Thesis","Palu",-1092,-1092,2,1,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-117.19451,52.21728,"c(-117.19451, 52.21728)"
