SiteID,site.name,long,lat,state,name_en,feature_id,lake_area_ha,nameMatch,DatasetID
10320,Bull Canyon (#1),-123.37049999999999,52.0878,BC,NA,NA,NA,NA,15669
10321,Bull Canyon (#2),-123.37049999999999,52.0878,BC,NA,NA,NA,NA,15671
10322,Oregon Jack Creek (#1),-121.46950000000001,50.6555,BC,NA,NA,NA,NA,15673
10323,Oregon Jack Creek,-121.46950000000001,50.6555,BC,NA,NA,NA,NA,15675
10340,Crater Lake,-120.09585,49.19225,BC,NA,NA,NA,NA,15713
10370,Moraine Bog,-124.9,51.33,BC,NA,NA,NA,NA,15781
10407,Testalinden Lake,-119.67689999999999,49.119730000000004,BC,NA,NA,NA,NA,15870
10408,Top Lake,-130.94489499999997,54.47601,BC,NA,NA,NA,NA,15872
10421,Woods Lake,-127.269325,51.004365,BC,NA,NA,NA,NA,15902
10493,Cook Bank,-128.3044444444445,50.85930555555555,BC,NA,0e8997633b34461984f3b5e89ff1dcdf,1492546.3997456892,NA,16096
10494,Logan Inlet,-131.68972222222249,52.78041666666665,BC,NA,312e6576fbce4f66a9fa4f5a24d267b1,1310071.9086952012,NA,16099
10495,Juan Perez Sound,-131.37499652096,52.5022213921833,BC,NA,312e6576fbce4f66a9fa4f5a24d267b1,1310071.9086952012,NA,16101
11605,Fishblue (Blue) Lake,-121.49261999999999,49.992745,BC,NA,d06a8fca6b1b433aba70284c39aa3748,8.467040328401826,NA,17393
11925,NEL03,-116.905,49.496404999999996,BC,NA,NA,NA,NA,18108
11934,Pyatts Lake,-115.769585,49.469660000000005,BC,NA,4be6736c2b7e40d7b81b4f6dd8b3ccd7,10.072225601551327,NA,18127
13375,Cooley Lake,-117.645195,49.49136,BC,NA,NA,NA,NA,19993
13376,Gerry Lake,-121.50548,53.64545,BC,NA,NA,NA,NA,19995
13625,Eleanor Lake,-119.30096499999999,52.11139,BC,NA,10edf9b90b8a4a07a4e1debb06285b15,6.437588368370259,NA,20609
13682,Drizzle Bog,-132.10562,53.935385,BC,NA,NA,NA,NA,20836
14031,Hippa Lake,-132.97624,53.53188,BC,NA,NA,NA,NA,21770
14032,Misty Lake,-127.26146,50.607074999999995,BC,NA,045638d285084202bb63167855a9d1c1,34.222852275339456,NA,21772
14033,Port McNeill Bog,-127.07868500000001,50.57119,BC,NA,NA,NA,NA,21774
14039,Roe Lake,-123.302695,48.782945,BC,NA,b68c7be98a5c4972b94bf6165b546f31,2.0068510886700524,NA,21788
770,E Lake,-99.65835000000001,50.69095,MB,NA,NA,NA,NA,3125
810,Beaverhouse Lake,-101.681667,54.742222,MB,NA,NA,NA,NA,834
849,Jones Lake [Glenboro site],-99.28965,49.448,MB,NA,1e57504234f14d769f9711b4062e9243,50.90667180771167,NA,878
944,Grand Rapids,-98.25,53,MB,NA,cccab7e8418c499cb5aad2a52fa94237,371986.7232180091,NA,974
1629,Lynn Lake,-101.041944,56.841667,MB,NA,NA,NA,NA,1684
1824,Perch Lake,-100.898889,51.651389,MB,NA,b91ca8cfa64848beb8d7281bc02a65c6,4.604249882967043,NA,1888
2290,Sewell Lake,-99.5763,49.84135,MB,NA,a940204dfcad4938a95617f212e043a5,145.23417626418126,NA,2372
10017,Lake Louise,-97.22993,49.032650000000004,MB,NA,a0be553e30bf40878f73f66874605fbf,26.76777070370329,NA,14991
10074,Jones Lake,-99.28914499999999,49.450244999999995,MB,NA,1e57504234f14d769f9711b4062e9243,50.90667180771167,NA,15138
10075,Mallard Pond,-101.32475,51.287795,MB,NA,2992701c042f4a8d8ce31cbee6b50dbf,7.887285387171204,NA,15140
10152,West Hawk Lake,-95.19172499999999,49.76341,MB,NA,4c97e584bb514362bbf2f7dcc057c5e8,1449.3226610735671,NA,15286
10333,Clearwater Bog,-101.2588,54.0236,MB,NA,NA,NA,NA,15700
10388,Porcupine Mountain,-101.62995000000001,52.50635,MB,NA,NA,NA,NA,15819
10484,Bradshaw Lake peat section,-95.1888888888889,57.76347222222225,MB,NA,c3e2261da8df4abc8d2db8a6086904e4,20.981536971832103,NA,16077
10487,Lost Moose Core 128,-94.26791666666671,57.56083333333335,MB,NA,NA,NA,NA,16083
10497,Silcox Core 52,-94.185,57.20541666666665,MB,NA,NA,NA,NA,16105
10498,Thibaudeau,-94.16944444444445,57.087083333333354,MB,NA,NA,NA,NA,16107
1591,Little Lake,-66.713325,45.143555,NB,NA,0c5cd4af15f445d3a83627fa2bac2a85,2.9737411173624015,NA,1640
1662,Mayflower Lake,-66.070833,45.302778000000004,NB,NA,NA,NA,NA,1718
1915,Point Escuminac,-64.8,47.075,NB,NA,3fb9298c49fd49b294dc1ef319f15d58,958527.7361114704,NA,1981
2959,Basswood Road Lake/Splan Pond,-67.330556,45.255556,NB,NA,NA,NA,NA,3058
2959,Basswood Road Lake/Splan Pond,-67.330556,45.255556,NB,NA,NA,NA,NA,3775
2959,Basswood Road Lake/Splan Pond,-67.330556,45.255556,NB,NA,NA,NA,NA,3058
2959,Basswood Road Lake/Splan Pond,-67.330556,45.255556,NB,NA,NA,NA,NA,3775
10376,Roulston Lake (MS-78-15),-67.4,46.89451,NB,NA,abe9e1faaae740699be237311cc9b585,1.9716829714528656,NA,15793
10488,Island Lake,-66.18226999999999,47.830254999999994,NB,NA,NA,NA,NA,16086
24,Alexander Lake,-60.583333,53.333333,NL,NA,NA,NA,NA,24
25,Alexis Lake,-57.033333,52.516667,NL,NA,NA,NA,NA,25
27,Aliuk Pond,-57.366667,54.583333,NL,NA,NA,NA,NA,27
270,Bishops Falls,-55.505556,48.936111,NL,NA,NA,NA,NA,276
297,Border Beacon,-63.2,55.333333,NL,NA,NA,NA,NA,303
334,Caribou Hill,-63.25,55.666667,NL,NA,NA,NA,NA,341
484,Coghill Lake,-66.766667,53.9,NL,NA,NA,NA,NA,496
488,Comb Lake,-57.71,49.69,NL,NA,NA,NA,NA,500
489,Compass Pond,-56.196389,50.034167,NL,NA,NA,NA,NA,501
758,Eagle Lake,-58.55,53.233333,NL,NA,NA,NA,NA,777
948,Gravel Ridge,-62.633333,55.033333,NL,NA,cc9879267e044255bc7e98247f7dc060,4763.974724085019,NA,978
951,Green Point Pond,-57.95,49.67,NL,NA,NA,NA,NA,981
957,Grey Islands,-55.516667,50.768889,NL,NA,NA,NA,NA,987
977,Harrie Lake,-66.95,52.933333,NL,NA,NA,NA,NA,1008
979,Hawke Hills Kettle,-53.133333,47.322222,NL,NA,NA,NA,NA,1010
996,Hebron Lake,-63.033333,58.2,NL,NA,NA,NA,NA,1028
1064,Snow Lake,-63.883333,56.633333,NL,NA,cf021184db824627976b3012bd13bf15,152.89548110473393,NA,3771
1106,Hynes Brook Salt Marsh,-58.965,48.618611,NL,NA,9f468f2119c94689acc19f78e7a4d3e4,1020608.7250540428,NA,1139
1356,Joes Pond,-58.24,48.24,NL,NA,NA,NA,NA,1391
1413,Kennys Pond,-52.713889,47.590278,NL,NA,NA,NA,NA,1450
1566,L'Anse aux Meadows Site,-55.55,51.573333,NL,NA,NA,NA,NA,1611
1576,Leading Tickles,-55.473056,49.471389,NL,NA,48ee01ab2c834e3aa467d61daec371e4,777137.3564087473,NA,1622
1599,Lake Hope Simpson,-56.433333,52.45,NL,NA,NA,NA,NA,1650
1712,Moraine Lake,-58.05,52.266667,NL,NA,NA,NA,NA,1769
1763,Northwest River Pond,-60.166667,53.516667,NL,NA,NA,NA,NA,1821
1790,Paradise Lake,-57.75,53.05,NL,NA,NA,NA,NA,1849
2187,L'Anse aux Meadows Road Cut Bog,-55.53,51.6,NL,NA,NA,NA,NA,2262
2190,Robinson's Pond,-58.8,48.26,NL,NA,NA,NA,NA,2266
2257,Sandy Cove Pond,-57.716667,54.4,NL,NA,NA,NA,NA,2337
2267,Lake Site South Burin Peninsula,-55.6125,46.919444,NL,NA,960605f87a04475299efb891e5189758,7.322883521921975,NA,2347
2516,Saint John Island Pond,-58.916667,53.95,NL,NA,ab1667405f634e7794740094e30c03cf,220105.74260846895,NA,2603
2521,Sugarloaf Pond,-52.666667,47.616667,NL,NA,NA,NA,NA,2610
2939,Woody Cove Section,-59.366667,47.861667,NL,NA,NA,NA,NA,3037
10227,Bass Pond,-57.374385000000004,50.715050000000005,NL,NA,2f4af76616d14128a12eb6c495240dbb,6.660490602699717,NA,15462
353,Chase Pond,-60.675,45.651389,NS,NA,NA,NA,NA,361
845,Upper Gillies Lake,-60.391667,46.066667,NS,NA,e7a91f045a49482f93074611f5a7af50,9.714344852594976,NA,874
1534,Lac à Magie,-66.079167,44.263889,NS,NA,NA,NA,NA,1572
1600,Little Lake,-63.93664,44.668195,NS,NA,NA,NA,NA,1651
1634,Main-à-Dieu,-59.845833,45.975,NS,NA,NA,NA,NA,1689
1665,McDougall Pond,-60.566944,47,NS,NA,NA,NA,NA,1721
2295,Shaws Bog,-64.183333,45.016667,NS,NA,NA,NA,NA,2377
