stid,site.name,lat,long,area,type
1598,Lake of the Clouds,48.142629080540836,-91.11251683929207,12.5,Lacu
5803,Hiscock Site,43.084999651797965,-78.08115574299458,16,Palu
2241,Sagehen Marsh,37.50667323060378,-108.5688611303411,79,Palu
1823,Perch Lake,46.033445673581696,-77.37519317990915,31,Lacu
324,Camel Lake,30.27487791053863,-84.98923875943306,28,Lacu
1396,Kaiyak Lake,68.14320533244256,-161.4387712146683,84,Lacu
1115,Inglesby Lake,44.46257349593272,-77.04868800790355,43,Lacu
2270,Screaming Yellowlegs Pond,67.56908672211061,-151.40492067771743,66,Lacu
1677,Lac Mélèze,65.21072823796844,-126.13216371824058,25,Lacu
1818,Ped Pond,67.19024414768762,-142.05468794172813,27,Lacu
2258,San Joaquin Marsh,33.665751473172065,-117.8454388747768,19,Palu
1955,Ranger Lake,67.13583793936631,-153.65926950937703,4,Lacu
957,Grey Islands,50.76746093304696,-55.530452424201734,47,Lacu
2549,Petit Lac Terrien,46.58588089459549,-70.60868644496549,20,Lacu
1806,Paynter Marsh,44.1035842566706,-78.32787833389152,26,Palu
2232,Ruppert Lake,67.07035647036672,-154.24462754065632,31,Lacu
943,Graham Lake,45.19030585597529,-77.35713039182849,63,Lacu
2795,Upper South Branch Pond,46.0884903401334,-68.89288745995334,36,Lacu
656,Decoy Lake,43.24135007597988,-80.3674751110739,64,Lacu
317,Burden Lake,42.599443342271506,-73.56096268653721,35,Lacu
489,Compass Pond,50.034252494553634,-56.18899240687659,77,Lacu
1712,Moraine Lake,52.264877843558374,-58.04368960323179,52,Lacu
6507,Ocheda Lake,43.5756447033252,-95.59290146345906,78.5,Lacu
25,Alexis Lake,52.51939381810244,-57.027731591820356,85,Lacu
2272,Second Lake,44.844186306070206,-79.97875218143002,67,Lacu
13899,Lac Triangle,48.704581521616554,-65.41356008231747,85,Lacu
206,Andy Lake,64.64501123527644,-128.08042026774658,45,Lacu
1585,Lily Lake,59.203198932719864,-135.39519408592318,12,Lacu
1944,Radtke Lake,43.397038278592724,-88.09524445730312,2.4,Lacu
10142,LaSalle Lake,47.337538702850175,-95.17084386045454,99.2,Lacu
10284,Taquitz Meadow,33.76837311917305,-116.6657102782317,8,Lacu
10158,Devlins Park,40.00069151468075,-105.56189479584722,37,Pal?
6514,Goose Lake,44.98817893991222,-94.58660755968755,53,Lacu
11584,St. Lawrence Island Section 3,63.67350942955655,-171.58641282332368,87,Palu
826,Fresh Pond,41.160208343764815,-71.57873632531813,23,Lacu
1725,Muscotah Marsh,39.528625084087274,-95.51584052112635,3,Palu
11606,Steel Lake,46.97447622523515,-94.68363905902973,23,Lacu
10132,Ozawindib Lake,47.23023564745738,-95.2719312192457,48,Lacu
10220,Twin Lake,49.320733918649864,-119.7263616756551,30,Lacu
10427,Allen Lake,46.224199094271206,-89.1721982321848,31,Lacu
13680,Chihuahuenos Bog,36.04763416594924,-106.51017564207969,51,Palu
6515,Olson Lake,46.51134639278445,-93.65845963367998,5.5,Lacu
1976,Redrock Lake,40.08199541149682,-105.54148158314842,2.8,Lacu
1842,Pixie Lake,48.59522101719482,-124.19732492702359,5.9,Lacu
321,Cahaba Pond,33.50105615887189,-86.5327122360984,0.2,Lacu
8,Abalone Rocks Marsh,33.95581984354922,-119.97763324291098,2.7,Palu
1957,Rattle Lake,49.34969807420909,-92.69926556964165,41,Lacu
757,Eagle Lake Bog,44.166938080845675,-71.66728021369725,38,Palu
2296,Mont Shefford,45.3590378978031,-72.58421872568861,1.3,Lacu
2785,Twin Lakes,37.46921274621068,-108.10288407776396,0.2,Lacu
8567,Adeline Lake,46.30278163396062,-91.16611359759428,1.2,Lacu
10556,Webbs Lake,44.1670666666667,-78.1025,6.215,NA
11736,Spirea Wetland,43.26191,-80.2592416666666,0.2985,NA
1355,Joe Lake,66.76666699999998,-157.21666699999997,24,Lacu
11572,Snipe Lake,60.62600999999998,-154.30347499999996,13,Lacu
11609,Little Swift Lake,60.21647499999999,-159.76567000000003,71,Lacu
9717,"Devils Lake, Creel Bay",48.08589999999997,-98.92934999999999,55,Lacu
10453,Grandfather Lake,59.79623,-158.53995000000003,10,Lacu
11585,Windmill Lake,63.658899999999974,-148.80525,81,Lacu
10186,Balsam Lake,42.02878499999997,-74.60420500000001,18,Lacu
1711,Moon Lake,46.85591999999997,-98.15984,83,Lacu
13897,Corser Bog,60.52995999999998,-145.45452,34,Palu
2527,Sutherland Pond,41.391388999999975,-74.037778,86,Lacu
667,Devon Island Glacier,75.34999999999998,-82.49999999999999,17,Ice
13455,Kettle Lake,48.60711999999998,-103.62398999999998,74,Lacu
2526,Surprise Lake,49.31969,-122.562125,0.37,NA
10319,Buckbean Bog,49.119049999999994,-119.68304999999998,65,Palu
10340,Crater Lake,49.192249999999994,-120.09585000000001,50,Lacu
10370,Moraine Bog,51.330000000000005,-124.90000000000002,2,Palu
10349,Grassy Lake,39.700855,-120.664685,4.4,NA
8561,West Olaf Lake,46.5986,-96.18675,58.1,Lacu
1222,Spiritwood Lake,47.074695,-98.58660000000002,49,Lacu
11925,NEL03,49.49640499999998,-116.905,1,Lacu
770,E Lake,50.69095,-99.65835,3.88,NA
13643,Lake KR02 (unofficial name),71.34399999999998,-113.78145,75,Lacu
10343,Donard Lake,66.66199999999999,-61.787800000000004,21,Lacu
11928,TK-2 Lake,66.34784,-104.945735,5.254,NA
10505,Twiss Marl Pond,43.44083000000002,-79.95551,14,Lacu
10102,Xindi Lake,67.11123499999998,-152.491385,70,Lacu
10212,Jan Lake,63.56466000000002,-143.91772,54,Lacu
10214,Paradox Lake,60.62287999999998,-150.75903,53,Lacu
10386,Swampbuggy Lake,63.054549999999985,-147.42066,69,Lacu
10537,Red Green Lake,68.65420999999999,-149.68123500000002,7,Lacu
10538,Tukuto Lake,68.4988,-157.0301,15,Lacu
10539,Upper Capsule Lake,68.63144444444443,-149.416925,30,Lacu
11574,Oil Lake,70.29222222222224,-151.1668055555555,39,Lacu
11604,Zagoskin Lake,63.448469999999986,-162.10838,82,Lacu
13000,Aghnaghak,63.656005000000015,-171.553815,87,Palu
8585,Horseshoe Lake,38.6867,-90.10375,1426.6,Lacu
29,Lake Allie,44.8036,-94.5579,203.8,Lacu
1701,Lake Minnie,47.244755,-95.007715,30.1,Lacu
2933,Wolsfeld Lake,45.005015,-93.57276,14.8,Lacu
10415,White Lake,40.99966999999998,-74.91347,56,Lacu
249,Belmont Bog,42.249999999999986,-77.916667,24,Palu
10155,Byron-Bergen Swamp (Site 2),43.098159999999986,-78.002715,76,Palu
10280,Devil's Bathtub,43.024689999999985,-77.57376,11,Lacu
10424,Ballston Lake,42.94974999999999,-73.85325,29,Lacu
1606,Lone Fox Lake,56.716666999999994,-119.716667,59,Lacu
13376,Gerry Lake,53.64544999999999,-121.50548,60,Lacu
2253,Lac à Sam,46.65416700000001,-72.978889,57,Lacu
12999,Naskak,63.64101166666665,-171.45400999999998,87,Palu
13454,Lake Hill,57.17824000000001,-170.24827,5,Lacu
10369,Mono Lake,38.00794999999999,-119.0255,40,Lacu
11617,Cumbres Bog,37.02174499999999,-106.45052,68,Palu
11560,Lake Cleveland,42.32129,-113.64955,9.7,Lacu
10091,Elk Lake,47.18919,-95.21787,118.1,Lacu
10121,St. Clair Lake,46.80338,-95.88068,57.5,Lacu
1607,Lonesome Lake,44.13999999999999,-71.701111,6,Lacu
2508,Spruce Pond,41.23687,-74.1833,3.5332,NA
10348,Goose Bay Marsh,44.35113499999999,-75.87042,32,Palu
10515,Binnewater Pond,41.409349999999996,-74.551335,78,Lacu
11607,Piermont Marsh,41.027635,-73.908375,22,Palu
1990,Rice Lake,48.00942,-101.53972,36,Lacu
2304,Silver Lake,41.25182,-74.98612,56,Lacu
10160,Emrick Lake,43.800155,-89.59428,13.1,Lacu
499,Cottonwood Slough,52.866667,-118.1,24,Palu
512,Crowfoot Lake,51.65,-116.416667,17,Lacu
759,Eaglenest Lake,57.766667,-112.1,807,Lacu
1638,Maligne Lake,52.733333,-117.616667,5096.9,NA
2556,Toboggan Lake,50.815305,-114.59946,0.5,Lacu
10274,Chalmer's Bog (PL-78-37),50.645250000000004,-114.5435,5,Palu
14049,Sunwapta Pass Bog 2,52.214259999999996,-117.16168,4,Palu
14055,Sunwapta Pass Bog 6,52.21728,-117.19451000000001,26,Palu
